dsName,TranAD,TranADWithPOT,USAD,USADWithPOT,GDN,GDNWithPOT,OmniAnomaly,OmniAnomalyWithPOT,RCoder
twitter,0.1891891891891892,0.9594594594594594,0.013513513513513514,0.6081081081081081,0.4189189189189189,0.5540540540540541,0.8783783783783784,0.972972972972973,Error
yahoo,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,Error
