dsName,TranAD,TranADWithPOT,USAD,USADWithPOT,GDN,GDNWithPOT,OmniAnomaly,OmniAnomalyWithPOT,RCoder
ecg,0.5566153846153846,0.965025641025641,0.2925128205128205,0.9698461538461538,0.32769230769230767,0.9286153846153846,0.16502564102564102,0.9882051282051282,0.42615384615384616
smtp,0.1875,0.3125,1.0,0.375,0.0,0.5,0.375,0.5625,0.3125
dlr,0.22380952380952382,1.0,0.22380952380952382,1.0,0.8523809523809524,1.0,0.0,1.0,0.2523809523809524
