length,TranAD,USAD,GDN,OmniAnomaly
20,28800.99368095398,117342.19288825989,501320.69849967957,136937.593460083
30,28894.997596740723,69604.53033447266,333945.09625434875,76228.54804992676
40,30140.31171798706,73408.45704078674,335022.49693870544,78334.95616912842
50,30179.593563079834,73195.82796096802,324014.37187194824,78071.47741317749
60,30267.06027984619,73012.20870018005,322974.36356544495,77970.25156021118
70,31155.455112457275,74734.12203788757,329052.0815849304,80534.13915634155
100,38489.68768119812,95065.2208328247,364284.9898338318,98401.63850784302
