lr,precision,recall,fmeasure
0.0001,0.09909326424870467,0.9216867469879518,0.17894736842105263
0.001,0.0996996996996997,1.0,0.1813216821409066
0.01,0.10014233428222855,0.9889558232931727,0.18186853766617428
0.1,0.10019326619875903,0.9889558232931727,0.18195252609217694
0.0001,0.09908256880733946,0.9216867469879518,0.17892992885683656
0.001,0.10189403020858308,0.8534136546184738,0.18205183122724353
0.01,0.10038846861582498,0.9859437751004017,0.18222304694748562
0.1,0.10014262428687856,0.9869477911646586,0.1818349981502035
1,0.10101767541510445,0.9467871485943775,0.1825573516600523
2,0.10008079175924056,0.9949799196787149,0.18186823270324834
10,0.10101767541510445,0.9467871485943775,0.1825573516600523
0.0001,0.10225995754775877,0.822289156626506,0.1818989450305386
0.001,0.10237173281703775,0.8493975903614458,0.18272138228941684
0.01,0.09992934288886646,0.9939759036144579,0.18160139411171236
0.1,0.10247567434413105,0.8353413654618473,0.18255622600109708
1,0.1007360672975815,0.9618473895582329,0.18237197791738058
2,0.10101767541510445,0.9467871485943775,0.1825573516600523
10,0.10101767541510445,0.9467871485943775,0.1825573516600523
0.0001,0.09689149560117302,0.8293172690763052,0.17351118579981092
0.001,0.10255465487595185,0.8383534136546185,0.1827533377106588
0.01,0.1022474685107434,0.8313253012048193,0.1820980866505388
0.1,0.10028712059064807,0.9819277108433735,0.1819873464830666
1,0.10101767541510445,0.9467871485943775,0.1825573516600523
2,0.10008079175924056,0.9949799196787149,0.18186823270324834
10,0.10101767541510445,0.9467871485943775,0.1825573516600523
0.0001,0.10299788530911805,0.8313253012048193,0.18328721638074158
