lr,window,dffw,epoch,batch,precision,recall,fmeasure
0.01,10,16,5,128,0.10020703933747412,0.968968968968969,0.18163054695562433
0.01,10,16,10,128,0.09954568399798082,0.986986986986987,0.18085106382978722
0.01,10,16,20,128,0.0998989898989899,0.98998998998999,0.18148453986604274
0.01,10,16,40,128,0.10054825695665667,0.972972972972973,0.18226139133695857
0.01,10,16,80,128,0.09966534197866556,0.953953953953954,0.18047533377521066
0.01,10,5,128,Error,Error,Error
0.01,128,10,5,Error,Error,Error
0.01,128,10,10,0.10052691393739023,0.973973973973974,0.18224386589248925
0.01,128,10,20,0.1003488610712087,0.978978978978979,0.18203815728245695
0.01,128,10,40,0.0992721391023049,0.982982982982983,0.1803323845376917
0.01,128,10,80,0.10059953256782847,0.990990990990991,0.18265682656826568
