lr,batch,n_window,epoch,dsName,precision,recall,fmeasure
0.1,128,10,5,smtp,0.00033628988187817897,1.0,0.0006723536580241206
0.1,128,10,10,smtp,0.07894736842105263,0.1875,0.11111111111111109
0.1,128,10,15,smtp,Error,Error,Error
0.01,128,5,5,smtp,0.0003420440552743193,0.625,0.0006837139340899768
0.01,128,10,5,smtp,0.0,0.0,-1.0
0.001,128,5,5,smtp,0.0007095553453169347,0.1875,0.001413760603204524
0.001,128,10,5,smtp,0.00041679296756592905,0.6875,0.0008330808845804302
0.0001,128,5,5,smtp,0.0005681818181818182,0.1875,0.001132930513595166
0.0001,128,10,5,smtp,0.0002451180652014053,0.1875,0.0004895960832313341
