lr,precision,recall,fmeasure
0.0001,0.7084444444444444,0.3108139534883721,0.4320679016257958
0.001,0.29898677342196955,0.2854651162790698,0.29206952888616744
0.01,0.1492906614999841,0.9695930232558139,0.25874214773133025
0.1,0.038461538461538464,0.2768023255813954,0.06753862085597152
1,0.3063365612536855,0.8302325581395349,0.44754090633237514
2,0.08367152184831742,0.9927325581395349,0.15433505961598648
10,0.08367152184831742,0.9927325581395349,0.15433505961598648
0.0001,0.7084444444444444,0.3108139534883721,0.4320679016257958
