lr,precision,recall,fmeasure
0.0001,0.011283497884344146,1.0,0.022315202231520222
0.001,0.7142857142857143,0.625,0.6666666666666666
0.01,0.75,0.75,0.75
0.1,0.75,0.75,0.75
