size,TranAD,RCoder,USAD,GDN,OmniAnomaly
2000,0.189427496,0.594081963,0.18951423,0.190538005,0.182138539
4000,0.180557017,0.524571193,0.180991293,0.180422227,0.178999222
10000,0.179616245,0.704528871,0.178768066,0.179910159,0.177873005
20000,0.178036692,0.680658334,0.177647556,0.178248979,0.177323562
40000,0.176724809,0.730519569,0.176331547,0.176634814,0.176096324
100000,0.175716605,0.751092349,0.175596204,0.17575462,0.175527904
200000,0.174795386,0.633254182,0.17473143,0.174737564,0.174681039
