size,TranAD,RCoder,USAD,GDN,OmniAnomaly
2000,0.10808962507639555,0.20824590920472658,0.110638347891766,0.10320181089125002,0.10026977687626774
10000,0.09843723947628065,0.5394808884839687,0.09799469710913725,0.09810134860140432,0.23341462696704235
20000,0.09867804779473316,0.6082765809309258,0.09811441539234649,0.09949383590669919,0.27255775910364144
40000,0.09728860755820781,0.6077777146798363,0.09695075761067656,0.0972042765713383,0.09659999999999999
100000,0.09647514612738568,0.4819318448101158,0.09635933657755487,0.09645274420923108,0.09618799999999998
200000,0.09569993191793966,0.4024008467984637,0.09571922728151114,0.09577955842898472,0.09564399999999999
2000,0.10735609569314522,0.42461219828695873,0.1074943009751892,0.10775492697017304,0.1002
4000,0.09959617929615679,0.3610336950119671,0.09996840946499483,0.09936785571058873,0.0983
10000,0.09909153323318122,0.5539216013242065,0.09844277761369466,0.09987493753343571,0.09762
20000,0.09788743489403554,0.5172589996727754,0.09756847076681598,0.09830815602922344,0.09729
40000,0.09718947520626685,0.584299738224635,0.09686876887089123,0.09714754911494769,0.09655
100000,0.09651964094578104,0.6027513764593356,0.09632837621777791,0.09643686660894873,0.096208
200000,0.09583529104914987,0.4825707578546359,0.09578634933457598,0.0957778830567418,0.09569899999999999
