size,TranAD,USAD,GDN,OmniAnomaly
2000,0.7425040613734966,0.728964459190285,0.7459266382635936,0.9932206682206683
4000,0.8639747435026661,0.8869133343144192,0.7790402375681345,1.0
10000,0.9229049483647396,0.906030629001075,0.9183202150751966,0.999586349092278
20000,0.9738902995206967,0.9405109545406851,0.9258219284407894,0.9993818613422993
40000,0.9713411685234765,0.9619975913828369,0.9442004527362835,0.9996877635737945
100000,0.9940571264987638,0.9858724706068995,0.9436065882260121,0.9996475124969871
200000,0.9952983350488367,0.9821070073502074,0.9516443268029121,0.999905779940087
