size,NormA,BeatGAN
1000,817.1875476837158,314131.0889720917
2000,2491.5621280670166,339584.6462249756
5000,10884.454488754272,423445.9934234619
10000,14609.29536819458,282493.64733695984
20000,32417.31309890747,306974.11012649536
50000,75993.41559410095,351166.50390625
100000,149082.72767066956,346277.45151519775
