rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.054452053043522006,0.054515722068404014,0.053524661398594006,0.9948101106464261
0.1,0.09870818723213733,0.09845749061108935,0.0994030117525915,0.9965114696421017
0.15,0.14148832155579716,0.1418760621161094,0.14155656070288414,0.9976008446854395
0.2,0.18442593816136427,0.1845609113938024,0.1843704545061883,0.9993476763352461
0.25,0.22512919344908616,0.22473775141930846,0.2254480185175002,0.9989353512553224
0.3,0.2636701190568906,0.26329034373511817,0.26286258043274746,0.9993926976970506
0.35,0.2992328322328396,0.29908365488271527,0.2986154032355361,0.9995973108558692
0.4,0.3351772699704865,0.3349553202479025,0.33475034038685064,0.999400231229265
0.45,0.36652517603470375,0.3663612711717586,0.3658652216380783,0.9995625067037693
0.05,0.052923893571481154,0.0524542468552895,0.05258888349853258,0.9958046467718257
0.075,0.0747349105257471,0.07487470310366129,0.0759244641351702,0.9971606919961384
0.1,0.09801131421706147,0.09826221067779492,0.0984489538381829,0.9984599685183471
0.125,0.1202805044352145,0.12002324732946953,0.12040061756760848,0.9986654326259057
0.15,0.14154744426900523,0.14188553314893873,0.14167692365532236,0.9980931268008366
0.175,0.1633169912558381,0.16398350013305135,0.1635174098051315,0.9978627779325041
0.2,0.18431850299632893,0.18442913272274275,0.18420633559771363,0.9985324947030108
0.225,0.2043985430977441,0.20417082055167154,0.20422935321444613,0.9992631600698338
0.25,0.22519966449992582,0.22486970649259524,0.2250634148349006,0.9997331674746011
0.275,0.24477035515870785,0.24460212254940386,0.24476463880004845,0.99930747415087
0.3,0.2633995947409502,0.2635673841186615,0.2633916223208994,0.9993932156831973
