rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.09781058813636141,0.09783366374530575,0.09779981492340703,0.9969960382497624
0.1,0.17929850391455546,0.17875236185998414,0.17942067710096338,0.9979470259366199
0.15,0.24777260169640555,0.2477361153598258,0.24760390340520896,0.9985138543894305
0.2,0.31131148141898246,0.31115173654399353,0.31033027783827066,0.9993453193226574
0.25,0.3671716670786752,0.36688373342926656,0.3664271980561251,0.999066752195413
0.3,0.41680109772990737,0.4166751229380791,0.414760957415794,0.9994317849521831
0.35,0.4604887859230167,0.46028495022453564,0.4576058970562764,0.999530027441595
0.4,0.5018926896363397,0.5015467807821367,0.4991555451860381,0.9993407024898534
0.45,0.5363425614142534,0.536064852322953,0.5324794553185561,0.9995627408025454
0.05,0.09724031313832429,0.09717154056498375,0.09733258254830801,0.9975984884989725
0.075,0.1385070447589028,0.13823534528845666,0.13882711224612945,0.998439642163955
0.1,0.17806888735954024,0.17778243654154452,0.1778466469153703,0.9988674488774635
0.125,0.21399488247968518,0.213819566597068,0.21392337333854883,0.9992060883784951
0.15,0.247786897573561,0.24790835506350373,0.24759855379165088,0.9989022774409577
0.175,0.28050222745242165,0.28069335764462167,0.28007181076541454,0.9987430950989609
0.2,0.31104158104309876,0.310824323583232,0.30998784350630026,0.9990470847970219
0.225,0.339130851480148,0.33865481293731964,0.33807340798342844,0.9994593573709972
0.25,0.36739344859815043,0.3665000593511761,0.3656442594824959,0.9998222529813823
0.275,0.3930600445383144,0.3922760557921037,0.39187045417321953,0.9996125103610783
0.3,0.4167149624125388,0.416179032174953,0.4150444841903277,0.9996013598435161
