rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.8567939534542116,0.8283679149592318,0.8007007612908656,0.9832558550286151
0.075,0.9319011815191308,0.8792079658647859,0.8961299066567363,0.9883412773190843
0.1,0.9713822573432562,0.9300905846497003,0.9596725437331768,0.9903457810921925
0.125,0.9767980153086626,0.9542037552806123,0.9390371021953193,0.9903126790655016
0.15,0.9750122640710384,0.9576489047539944,0.988147934018689,0.9913789514725181
0.175,0.9791959918961093,0.9670040394063772,0.9904287692875959,0.9911301685323342
0.2,0.9890186757830485,0.9696776907290772,0.9936703673789046,0.9938788286162742
0.225,0.9873194194722503,0.9747735419429636,0.9925997565258637,0.9917212347010749
0.25,0.9911536817914846,0.9784561019315244,0.9954131380835907,0.995040603450863
0.275,0.9894345466691125,0.9788790640841011,0.9945637096653461,0.9976525590997897
0.3,0.9879640862759193,0.9775883151362882,0.9952593101031398,0.9962913369964325
