rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.051517092642955585,0.051476397929709275,0.052128554569302946,0.9821364449148777
0.075,0.0752911776757296,0.07568717359538688,0.07590794196142103,0.980522092009324
0.1,0.09764620746238636,0.09784569719333129,0.09835222145175762,0.9840941035278667
0.125,0.11991616918224753,0.11996632832991876,0.12117105860963476,0.9880008767866002
0.15,0.14266386514623902,0.14245048875999494,0.1426541527478838,0.9873929447191359
0.175,0.16356456206228112,0.16303832082081113,0.16320800667835506,0.988755662501088
0.2,0.18417773524721198,0.18411907259804838,0.18408122195523952,0.9883889263139874
0.225,0.20476195832081098,0.2045423957023585,0.2045781602305722,0.9897069162925923
0.25,0.2240008432751332,0.2239287069268466,0.22409082549100554,0.9880849151211347
0.275,0.24294445849056262,0.243233476360072,0.24350061575547427,0.9895523269251502
0.3,0.26175167389785264,0.2617915145756588,0.26203273696625384,0.9931463504905753
