rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.7568745825901758,0.7634424463567998,0.7003841039998991,0.999195118890009
0.1,0.9789234603304425,0.9732402292848958,0.9309043586732921,0.9993898430007832
0.15,0.995882810348585,0.9769410790659563,0.9872928250562059,0.9994341200763219
0.2,0.9979425032815168,0.9911972569245808,0.9796415534645782,0.9993431380221518
0.25,0.9950229336360445,0.9983967115651424,0.9785402594148742,0.9991995824865123
0.3,0.9942929603279925,0.9982564033039882,0.9825952284802126,0.999470945307684
0.35,0.998741306015712,0.9984678844798335,0.978700285205727,0.9994627666702426
0.4,0.9986278933347433,0.9978515204339307,0.9809473556474305,0.9992812271853356
0.45,0.9993966243453816,0.9986908681923298,0.9777628696053646,0.999563034706432
0.05,0.7908951031144797,0.8055262751536014,0.7552561164759296,0.9994023651413997
0.075,0.9497363782898278,0.9112455751799514,0.8338303163100761,0.9997264016767723
0.1,0.9738902995206967,0.9405109545406851,0.9258219284407894,0.9992758748713493
0.125,0.9709401913213662,0.9791256023012922,0.960559775591466,0.9997477519775545
0.15,0.9934547789172653,0.9814432724186195,0.981227170308653,0.9997150997150996
0.175,0.9932303362605319,0.9744609611496637,0.9753995398698384,0.9996299715102307
0.2,0.9955524759661539,0.9878738441417039,0.9775722162421149,0.9995633742212682
0.225,0.9950934986558453,0.9922956848449067,0.9810485004970108,0.9996560851744004
0.25,0.9968437931429976,0.9901759156985264,0.9741796480085163,0.9999114568522657
0.275,0.9972582953558818,0.9900134161412856,0.9822342452950416,0.9999183340138831
0.3,0.9971456067472394,0.9886537216542901,0.9784704783207225,0.9998096688237533
