rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.09711313956692876,0.0965490869393083,0.09723266853082332,0.9826890208106173
0.075,0.13924007515293474,0.13855952222592927,0.1394509559011345,0.9843904761820271
0.1,0.17744138498674633,0.1770238808664039,0.17827013590493096,0.9871973352737523
0.125,0.21359974285965286,0.2131180463029026,0.21442359575577793,0.989141914769248
0.15,0.24889443262038552,0.24798417029687592,0.24930577935108883,0.9893693186036195
0.175,0.2802978792387661,0.2790072161510405,0.2802256953138683,0.9899268565619751
0.2,0.3105243035814717,0.30946587444682516,0.3106081527321509,0.9911179174549005
0.225,0.33917508354583176,0.33812387761245566,0.3392239377710549,0.9906966221933153
0.25,0.36541526346852365,0.36444797585393307,0.3658189027308644,0.9915396069284281
0.275,0.39009713625694786,0.38964425891872234,0.39121491955548116,0.9935841121267076
0.3,0.41385305826390645,0.4129861095913439,0.4148430255343244,0.9947139798824611
