rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.9896659730795669,1.0,0.989630972912783,0.8421710157494413,1.0
0.075,0.9832668006497988,1.0,0.990450300429521,0.9028510879849811,1.0
0.1,0.9831218140823573,1.0,0.9914644867835476,0.9566634422303018,1.0
0.125,0.9781736407788342,1.0,0.9894451184634834,0.984587934446029,0.9999162479061976
0.15,0.9906955198350301,1.0,0.9944648619703035,0.9865226946079332,1.0
0.175,0.9897361746896589,1.0,0.9971044917747767,0.9918083496405604,1.0
0.2,0.9940323983720287,1.0,0.9979321962165736,0.9953020258587358,1.0
0.225,0.9918425321823923,1.0,0.997939341329299,0.9938471068166164,1.0
0.25,0.9979450336680585,1.0,0.995713099200912,0.9955812713587596,1.0
0.275,0.9972122093679715,1.0,0.9982374506409217,0.9963031681317214,1.0
0.3,0.9979087546468601,1.0,0.9979427728943989,0.9971261170643462,1.0
0.05,0.9896659730795669,1.0,0.989630972912783,0.8421710157494413,1.0
0.075,0.9832668006497988,1.0,0.990450300429521,0.9028510879849811,1.0
0.1,0.9831218140823573,1.0,0.9914644867835476,0.9566634422303018,1.0
0.125,0.9781736407788342,1.0,0.9894451184634834,0.984587934446029,0.9999162479061976
0.15,0.9906955198350301,1.0,0.9944648619703035,0.9865226946079332,1.0
0.175,0.9897361746896589,1.0,0.9971044917747767,0.9918083496405604,1.0
0.2,0.9940323983720287,1.0,0.9979321962165736,0.9953020258587358,1.0
0.225,0.9918425321823923,1.0,0.997939341329299,0.9938471068166164,1.0
0.25,0.9979450336680585,1.0,0.995713099200912,0.9955812713587596,1.0
0.275,0.9972122093679715,1.0,0.9982374506409217,0.9963031681317214,1.0
0.3,0.9979087546468601,1.0,0.9979427728943989,0.9971261170643462,1.0
