rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.09598503051699273,0.5685133504220411,0.09571619766040199,0.09709918337943318,0.09543668066129464
0.075,0.13804637606926295,0.6429945385028603,0.13765063302123648,0.13908315455690937,0.13729782393710294
0.1,0.1780366917258474,0.706260217607453,0.17764755584091016,0.1782489789663049,0.17732356238234637
0.125,0.213932479980121,0.7511196174209555,0.213789865598984,0.21392939815414933,0.2133585678140971
0.15,0.24778874506329399,0.7572225803061661,0.24763559812648336,0.2478622026698034,0.24727315683234924
0.175,0.28052425003063897,0.7984050562612011,0.28026485061289297,0.28054929851428295,0.2800845040562039
0.2,0.31131684933718873,0.8098373398787311,0.31086836421070707,0.31105689024436495,0.3107497498323945
0.225,0.3391753839527102,0.8282603452926336,0.338759377954317,0.3391324074045246,0.33877085278814445
0.25,0.36747059985215047,0.8447481370476329,0.36705178342316747,0.3675765478701011,0.36711687021179457
0.275,0.3931073874336265,0.8584951307461626,0.39278268593924637,0.3931185622726441,0.39278351753605517
0.3,0.4167949392714327,0.8696123453851989,0.4165052453085008,0.4167947509796236,0.4165272997164261
0.05,0.09598503051699273,0.5079583706914199,0.09571619766040199,0.09709918337943318,0.09543668066129464
0.075,0.13804637606926295,0.6043027190283964,0.13765063302123648,0.13908315455690937,0.13729782393710294
0.1,0.1780366917258474,0.6728170465229288,0.17764755584091016,0.1782489789663049,0.17732356238234637
0.125,0.213932479980121,0.721925914308683,0.213789865598984,0.21392939815414933,0.2133585678140971
0.15,0.24778874506329399,0.7518081762600424,0.24763559812648336,0.2478622026698034,0.24727315683234924
0.175,0.28052425003063897,0.7843867586286809,0.28026485061289297,0.28054929851428295,0.2800845040562039
0.2,0.31131684933718873,0.8056464196735581,0.31086836421070707,0.31105689024436495,0.3107497498323945
0.225,0.3391753839527102,0.8248097025174765,0.338759377954317,0.3391324074045246,0.33877085278814445
0.25,0.36747059985215047,0.842173257928344,0.36705178342316747,0.3675765478701011,0.36711687021179457
0.275,0.3931073874336265,0.8562932421488594,0.39278268593924637,0.3931185622726441,0.39278351753605517
0.3,0.4167949392714327,0.8681287703156355,0.4165052453085008,0.4167947509796236,0.4165272997164261
