rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.6335375964720066,0.795935990056299,0.35087262032904076,0.7114832053564424,0.9961432072282215
0.075,0.8645837076797477,0.796902343290143,0.6473990875655453,0.7635376304508031,0.9948860415536244
0.1,0.8935073477686251,0.7991889212271864,0.8354419346876624,0.8347151302022189,0.9963627685246459
0.125,0.8958084668411104,0.7997615215531101,0.9270407493571426,0.8523500189938662,0.9959236408269152
0.15,0.9384536678746269,0.799969349259615,0.9297122962002419,0.9208318427967663,0.997154101919981
0.175,0.9323019549262913,0.8007587562340637,0.9134744576957834,0.9040918525767371,0.9959144089311025
0.2,0.9646387077240096,0.8055459241007942,0.9725785420118361,0.9516750082104929,0.9967794767012744
0.225,0.9458617683440084,0.8037395694038458,0.9789174290348525,0.961659411869609,0.9972185854809062
0.25,0.9479501355260155,0.8027355417541496,0.9880643829520768,0.9592265505942157,0.9972253122893056
0.275,0.9670443830744704,0.8048295428130967,0.9932161930681115,0.9765265597232107,0.99760938533071
0.3,0.9780353581760084,0.8095323576352845,0.9918284691886707,0.9767464302237787,0.9962391120927725
