rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.05043958730316263,0.40190305746945565,0.05029123392970035,0.051976353817022855,0.05011
0.075,0.07423679237837862,0.47995789558382285,0.07396651738120727,0.07542917589088925,0.07371
0.1,0.09788743489403554,0.5518070193390028,0.09756847076681598,0.09830815602922344,0.09729
0.125,0.1201080320875132,0.6067381232621669,0.11984974353496844,0.1200236070303146,0.11942119311931192
0.15,0.1416091755500609,0.6141114697094454,0.14142905845678724,0.14175721818967063,0.14108000000000004
0.175,0.16343261208679719,0.6688949951036822,0.1630489907230362,0.16338551290291442,0.16285000000000002
0.2,0.18456533446095663,0.6840815496945535,0.18411318717379024,0.1843349166422638,0.18395999999999996
0.225,0.20457243763497499,0.7101026280171578,0.20400764683706446,0.20445626716351276,0.20393000000000003
0.25,0.22519945253418266,0.734065989661143,0.22500201778506726,0.22540478057486416,0.22483
0.275,0.244808332511405,0.7546056014993042,0.24449470797519485,0.2448728522668179,0.24439000000000002
0.3,0.2634095432645684,0.7715790061431222,0.2631748237471157,0.26346448604633693,0.26304999999999995
0.05,0.05043958730316263,0.34065472202649777,0.05029123392970035,0.051976353817022855,0.05011
0.075,0.07423679237837862,0.4333573177219736,0.07396651738120727,0.07542917589088925,0.07371
0.1,0.09788743489403554,0.5073211244767885,0.09756847076681598,0.09830815602922344,0.09729
0.125,0.1201080320875132,0.5651301539251112,0.11984974353496844,0.1200236070303146,0.11942119311931192
0.15,0.1416091755500609,0.6025994944142223,0.14142905845678724,0.14175721818967063,0.14108000000000004
0.175,0.16343261208679719,0.6455445221630204,0.1630489907230362,0.16338551290291442,0.16285000000000002
0.2,0.18456533446095663,0.674748344670459,0.18411318717379024,0.1843349166422638,0.18395999999999996
0.225,0.20457243763497499,0.7020296588593355,0.20400764683706446,0.20445626716351276,0.20393000000000003
0.25,0.22519945253418266,0.7275312104219102,0.22500201778506726,0.22540478057486416,0.22483
0.275,0.244808332511405,0.7488441530359866,0.24449470797519485,0.2448728522668179,0.24439000000000002
0.3,0.2634095432645684,0.767111987664114,0.2631748237471157,0.26346448604633693,0.26304999999999995
