rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.02773132503038222,0.9874886932616114,0.03365647602506518,0.030189552141012904,0.9073681378363508
0.075,0.03861949789062426,0.9863482700715384,0.039967734689490116,0.03933108347032911,0.9461233476789701
0.1,0.05096368824129123,0.9838003824951997,0.05193037105391415,0.05149182187303365,0.9608458380122284
0.125,0.06335159124953502,0.9819242968535524,0.06322201115690701,0.06371957727034033,0.961167064796569
0.15,0.07505546018216949,0.9806310173030928,0.07484337450173935,0.07550889347777771,0.9727954803636889
0.175,0.08713006974223463,0.9811509612323153,0.0871689573831512,0.0876791459098597,0.9783503731847223
0.2,0.09780176937044047,0.9770617180880563,0.09744370855302317,0.0978518332069778,0.9823576747709168
0.225,0.10956783380438342,0.9771840784137569,0.10880048979374309,0.10919173070762962,0.9849284260305586
0.25,0.1208783911212411,0.9793430085489963,0.11986575750566857,0.12054829135864158,0.9841002348836545
0.275,0.13140631422610244,0.9797656633064087,0.1307444243901596,0.1314623341293635,0.9792127924778435
0.3,0.1422988504641264,0.9763658852735837,0.141785781083896,0.14250957445161777,0.9714726109944014
