rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.052403040048057625,0.8810810523638114,0.05492858988418629,0.05278424951959807,0.9492077437271215
0.075,0.0738848591984057,0.881366824930692,0.07468984467923755,0.07441316892657623,0.9696443192651408
0.1,0.09635580710100991,0.8818453505647883,0.09722415782475921,0.09673668673099477,0.978170358574004
0.125,0.11817652393745434,0.8813171154365147,0.11806111162618223,0.11822468301831983,0.9781814473730301
0.15,0.1389093639995062,0.8808594289662903,0.13838086338038394,0.13914752124142385,0.9848097733440966
0.175,0.15921272038312312,0.8815902024188074,0.15891917400026043,0.15936761477121514,0.9870396715404135
0.2,0.17752445297156522,0.8828432372252045,0.1771113066545567,0.17737946569999524,0.9895057900908402
0.225,0.19631035165345254,0.8819093724859993,0.19581329663321828,0.196018494800664,0.9910254904754499
0.25,0.21434592877334557,0.8821968450632177,0.21378438370552316,0.21406424379194916,0.9906132224645919
0.275,0.2313194087221302,0.8835831012778778,0.23106501052855472,0.2316453693445551,0.988229359554779
0.3,0.2484062702242836,0.884950083994746,0.2481001207127636,0.24864413966614993,0.9834950211056069
