dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.3216526508331299,1.4145817756652832,7.579408645629883,9.231624126434326,Error,23.745757341384888,0.0,0.0,0.0,0.0,0.0,0.0
twitter,2.9757564067840576,4.743692398071289,67.59190678596497,81.59413456916809,Error,228.83087134361267,0.0,0.0,0.0,0.0,0.0,0.0
dlr,7.988998174667358,19.760971784591675,114.5650327205658,144.36664938926697,27.927507877349854,339.36908984184265,0.0,0.0,0.0,0.0,0.0,0.0
ecg,105.19359230995178,350.2501747608185,890.8154952526093,879.638160943985,188.93806958198547,2539.766414165497,0.0,0.0,0.0,0.0,0.0,0.0
smtp,29.897517204284668,84.8275396823883,461.258282661438,524.4079141616821,73.71359968185425,1360.1103646755219,0.0,0.0,0.0,0.0,0.0,0.0
