dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.9999000099990001,0.49997500124993743,0.0,0.0,0.9999000099990001
twitter,0.0,0.0,0.0,0.0,0.0,0.0,0.49997500124993743,1.999960000799984,1.999960000799984,2.249943751406215,0.0,3.9996000399960003
dlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99875006249687,0.0,41.497925103744805,11.499425028748561,40.99795010249487
ecg,0.0,0.0,0.0,0.0,0.0,0.0,1.176229026135645,0.13225568462485784,0.01647373034400132,0.33333329794763294,0.16468488913882942,0.0021645020864176734
smtp,0.0,0.0,0.0,0.0,0.0,0.0,0.9999666677777407,0.9999666677777407,0.9999666677777407,0.0,0.0,0.9999666677777407
exathlon_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,22.498875056247186,0.249996875039062,0.0,0.499993750078124,0.0,0.0
uni_subg_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,6.2499218759765505,1.2499843751953101,2.8749640629492133,0.0,0.0,2.8749640629492133
uni_subs_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,29.499262518437043,0.124998437519531,0.0,0.0,0.0,0.0
uni_subt_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,45.995400459954006,5.333155561481283,1.2499843751953101,0.124998437519531,0.0,0.0
yahoo,0.0,0.0,0.0,0.0,0.0,0.0,0.49997500124993743,0.49997500124993743,0.49997500124993743,0.0,0.0,0.49997500124993743
twitter,0.0,0.0,0.0,0.0,0.0,0.0,1.8333027782870286,0.24999375015624611,0.0,0.4999950000499995,0.0,0.1999960000799984
dlr,0.0,0.0,0.0,0.0,0.0,0.0,72.99270072992701,0.0,46.99765011749412,46.49767511624418,10.999450027498623,46.99765011749412
ecg,0.0,0.0,0.0,0.0,0.0,0.0,0.0014290817638770359,0.39970056888468797,0.45407271159918344,0.35149378708369294,0.14947015340378397,0.28867399327707277
smtp,0.0,0.0,0.0,0.0,0.0,0.0,0.3333222225925802,0.9999666677777407,0.0,0.0,0.0,0.9999500024998749
exathlon_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,2.1249734378320273,0.0,0.0,0.0,0.0,0.0
uni_subg_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,7.749903126210922,0.999987500156248,0.999987500156248,2.3749703128710893,0.0,3.2499593755078062
uni_subs_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,8.874889063886702,0.0,0.0,0.124998437519531,0.0,0.0
uni_subt_sp_pos,0.0,0.0,0.0,0.0,0.0,0.0,45.995400459954006,10.874864064199198,0.0,0.0,0.0,4.16659722337961
