dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.3191489361702127,0.42857142857142855,0.7471264367816093,1.0,0.0,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.7796610169491525,1.0,0.0,0.4666666666666667
twitter,0.15035955545870558,0.32085435330201445,0.11611220391947555,0.20230794592812398,0.0,0.08823529411764706,0.14012738853503184,0.18025078369905953,0.08646880112175742,0.10666666666666667,0.0,0.0425531914893617
dlr,0.07008760951188985,0.1528569062651404,0.14120903194679482,0.1237115151359621,0.17292899693470343,0.22105540360733295,0.07008760951188985,0.05626900481209222,0.011933946874898752,0.01768494172747589,0.03636363636363636,0.04608294930875576
ecg,0.10674844039475347,0.26999497545017287,0.24588250359427888,0.3175818860618778,0.6250184582856462,0.3209680845063201,0.09965867336709511,0.1492452141627169,0.12804034155574484,0.30757213513784215,0.640687354066183,0.20568151234319373
smtp,0.009876543209876543,0.005126890540886952,0.23529411764705885,0.26666666666666666,0.0007902015013828527,0.26143790849673204,0.011202452278110632,0.00530698983401298,0.41658031088082903,0.24,0.0007902015013828527,0.30927835051546393
exathlon_sp_pos,0.008993414114884897,0.18352861319336905,0.24719137818015213,0.19130851979675595,0.0,0.41642596736254117,0.36363636363636365,0.016165867175965618,0.24612686349020754,0.016686191566619914,0.0,0.24612686349020754
uni_subg_sp_pos,0.21007506929182623,0.8484214567713786,0.6385425466833687,0.0,0.0,0.6385425466833687,0.9992810927390366,0.7558963408715909,0.9975429975429976,0.0,0.0,0.9975429975429976
uni_subs_sp_pos,0.019476209646708088,0.08833053602337003,0.28722357879293053,0.16160862740921283,0.0,0.25595209126097856,0.2,0.04504911670937764,0.08117103958950722,0.05162270208658982,0.0,0.08961953963460272
uni_subt_sp_pos,0.012610340479192938,0.320553040984521,0.5310734286014013,0.19155301216668957,0.0,0.15433505961598648,0.06896551724137931,0.49035964668067117,0.22771680194136257,0.056417150968320375,0.0,0.17251461988304093
yahoo,0.09417560127499275,0.3023255813953489,0.3023255813953489,0.3352601156069364,Error,0.3023255813953489,0.09731543624161075,0.31250000000000006,0.31250000000000006,0.3352601156069364,0.0,0.31250000000000006
twitter,0.056183813504884064,0.24633363886342804,0,0.07117380492009748,Error,0.27407296650717705,0.03812238944507061,0.24906785980611484,0,0.04737045630317091,0.0,0.27711512695663537
dlr,0.0038387715930902114,0.015430447587615708,0.21601321091336392,0.2331339205665833,0.3732365582075132,0.31259739198257347,0.6666666666666666,0.015751941138913976,0.13426023106589124,0.15732126696832577,0.16666666666666669,0.1665162454873646
ecg,0.08437242830019188,0.2239398683697401,0.14690133052383209,0.26262964822472123,0.5530762399754404,0.17667932739032247,0.0843556728458311,0.16814521568211702,0.12411814912578033,0.2521033222594713,0.5625164320360352,0.1503110594388247
smtp,0.0016774090872921144,0.0025906735751295338,0.000317001139011164,0.2424242424242424,0.0006753349461398165,0.008746355685131194,0.0017457659685432734,0.0029047292170959935,0.000317001139011164,0.21428571428571427,0.000675495011187886,0.005952380952380952
exathlon_sp_pos,0.14650249820360034,0.4838939283886841,0.24586856993409975,0.4092298458876134,Error,0.8511881382412598,0.02401351514420176,0.24612686349020754,0.24586856993409975,0.24612686349020754,0.0,0.24612686349020754
uni_subg_sp_pos,0.1466809267621661,0.34539273489911126,0.3652040606815289,0.23965426568861242,Error,0.23947101088877368,0.08478953691646944,0.039468555535497524,0.03818574621879864,0.07873303167420814,0.0,0.07873303167420814
uni_subs_sp_pos,0.1677738152634551,0.20599890720044112,0.131512739608467,0.1524886376182583,Error,0.28400126037146706,0.09356725146198831,0.07179956232648911,0.08210000576196148,0.01589741610709623,0.0,0.09304327358603114
uni_subt_sp_pos,0.014430014430014432,0.30254747008917693,0.06911341765433704,0.17681161404546203,Error,0.35943300479426615,0.2222222222222222,0.4565520232545411,0.009227644349341566,0.03302049464349931,0.0,0.20028605205572744
