rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.03876834357933589,0.8003262115267992,0.0396646848467246,0.037964494585136496,0.7080741239048047
0.075,0.05491104725467662,0.8078186199252613,0.05775281155938348,0.061572528912590366,0.7893387101937607
0.1,0.07451419781921469,0.8074294304218805,0.07960654772888714,0.0875347393519074,0.8511312502678093
0.125,0.10657844717688769,0.8223671879731376,0.11468636401579275,0.10494951103820097,0.8779418829252373
0.15,0.129322679289747,0.825559475870038,0.1350274871403878,0.12641273285285554,0.896677251307698
0.175,0.14874257015056466,0.828429526999803,0.1545334573607024,0.13809174718722766,0.9241047965361668
0.2,0.1698657651408772,0.8322408135306485,0.17084436965637012,0.1735046397912254,0.9269507424877352
0.225,0.19231660959401514,0.836229209329962,0.18933012478220088,0.1892659003579164,0.9436220225807894
0.25,0.21017972399051627,0.8410409547782869,0.20765098602222926,0.20874389953692737,0.9498513580478137
0.275,0.227544427891057,0.8477304122334399,0.22563625662812745,0.22372554536261396,0.9402387077963494
0.3,0.24567281178471215,0.8568561250272669,0.24243489859920592,0.24432202048252818,0.9511277207965779
0.05,0.03876834357933589,0.7983091979492787,0.0396646848467246,0.037964494585136496,0.7080741239048047
0.075,0.05491104725467662,0.8085368745634376,0.05775281155938348,0.061572528912590366,0.7893387101937607
0.1,0.07451419781921469,0.8067142419285416,0.07960654772888714,0.0875347393519074,0.8511312502678093
0.125,0.10657844717688769,0.814562755767524,0.11468636401579275,0.10494951103820097,0.8779418829252373
0.15,0.129322679289747,0.8179605320087457,0.1350274871403878,0.12641273285285554,0.896677251307698
0.175,0.14874257015056466,0.8188652977390593,0.1545334573607024,0.13809174718722766,0.9241047965361668
0.2,0.1698657651408772,0.8212629712283419,0.17084436965637012,0.1735046397912254,0.9269507424877352
0.225,0.19231660959401514,0.8244139617530906,0.18933012478220088,0.1892659003579164,0.9436220225807894
0.25,0.21017972399051627,0.824270561731608,0.20765098602222926,0.20874389953692737,0.9498513580478137
0.275,0.227544427891057,0.8305279629736916,0.22563625662812745,0.22372554536261396,0.9402387077963494
0.3,0.24567281178471215,0.83774411648027,0.24243489859920592,0.24432202048252818,0.9511277207965779
