rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.05214662547740827,0.04649744385614628,0.049551897066023115,0.9729093716329119
0.075,0.07291631386697288,0.0760215856432741,0.07387349966927992,0.9948027987311919
0.1,0.09497770648630133,0.09676250048188864,0.09723591445782419,0.9939033295011196
0.125,0.11902538073938303,0.11827391838546872,0.12014056324164943,0.9945202154105415
0.15,0.13980771309025114,0.13900503832658478,0.13803163416544423,0.9974003658025301
0.175,0.16144640288638265,0.16102009054719063,0.16300875163483408,0.9974200440113986
0.2,0.18282749755733066,0.18209508417640835,0.18496710017891388,0.9980390000913255
0.225,0.2017731481042945,0.20196803297158233,0.2030229974087579,0.9990243457213914
0.25,0.22538436921818295,0.2259030023636063,0.22573159929397532,0.999640586435721
0.275,0.24431963223106185,0.24208316108636216,0.24381575237499448,0.9991441228607505
0.3,0.26438084385623317,0.262920379651737,0.26457452189618447,0.9990684194052617
