rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.05022746022452773,0.06984113329409718,0.05011551529906544,0.06242613870409989,0.05011
0.075,0.07365364890474888,0.10125902000251105,0.0737267162601832,0.06739037184677729,0.07371
0.1,0.09726904407873746,0.13239188171016417,0.09736472730592599,0.11208938834518985,0.09729
0.125,0.11953007864010637,0.1611813744852557,0.11976072886382969,0.11494785494729345,0.11943000000000001
0.15,0.14111958266043265,0.18752630562663825,0.14152861902460473,0.14320565418004755,0.14108000000000004
0.175,0.163164163305736,0.21539395233440825,0.16331785193553275,0.16327611200468167,0.16285000000000002
0.2,0.18380925020620958,0.24058292607148918,0.18422153666045707,0.18429705558670453,0.18395999999999996
0.225,0.20398918055140974,0.2646846899345654,0.204065812117089,0.20412498079357072,0.20393000000000003
0.25,0.22458327554703908,0.2895592325255397,0.22510303896358314,0.22506915201029698,0.22483
0.275,0.24431172315051836,0.31253038654249143,0.24455773656661356,0.24487125579756502,0.24439000000000002
0.3,0.263055930504007,0.33399252088397585,0.2630548114844061,0.2633115710008373,0.2630426182618262
