rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.0825411409543951,0.039791452041759545,0.030360901769332233,0.6553113983420977
0.075,0.10809295414520419,0.06534706495319692,0.06601405301944717,0.6630497777606243
0.1,0.1411842734008066,0.08554714796689708,0.07952646596745806,0.6641299894972578
0.125,0.1899349542378045,0.11469738624691897,0.07562727517059425,0.6571399034389963
0.15,0.24244711662652868,0.1281272439265872,0.09322134238366245,0.656284555046264
0.175,0.27960070940475223,0.14535666901733485,0.11039352194846026,0.6672073010795869
0.2,0.3100112029816786,0.1525849459565815,0.123668049167634,0.6595320506641329
0.225,0.3383441277086391,0.18002167389316936,0.13558546000989227,0.6633267838277468
0.25,0.36545321492287586,0.19168005142549321,0.14931077075389929,0.6670137261026492
0.275,0.3905852381374263,0.22050901922788588,0.16205734091352464,0.6629462781026018
0.3,0.4142591513810408,0.22396501278647535,0.17239549560705086,0.6604634533266103
0.05,0.0825411409543951,0.039791452041759545,0.030360901769332233,0.6553113983420977
0.075,0.10809295414520419,0.06534706495319692,0.06601405301944717,0.6630497777606243
0.1,0.1411842734008066,0.08554714796689708,0.07952646596745806,0.6641299894972578
0.125,0.1899349542378045,0.11469738624691897,0.07562727517059425,0.6571399034389963
0.15,0.24244711662652868,0.1281272439265872,0.09322134238366245,0.656284555046264
0.175,0.27960070940475223,0.14535666901733485,0.11039352194846026,0.6672073010795869
0.2,0.3100112029816786,0.1525849459565815,0.123668049167634,0.6595320506641329
0.225,0.3383441277086391,0.18002167389316936,0.13558546000989227,0.6633267838277468
0.25,0.36545321492287586,0.19168005142549321,0.14931077075389929,0.6670137261026492
0.275,0.3905852381374263,0.22050901922788588,0.16205734091352464,0.6629462781026018
0.3,0.4142591513810408,0.22396501278647535,0.17239549560705086,0.6604634533266103
