rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.3425085653371856,0.04337390775048386,0.026635175147901768,0.48949247437825505
0.075,0.366262730838108,0.0606573086367876,0.06860066009902507,0.496609357303179
0.1,0.44619855828045873,0.08048810441369669,0.14956077374854654,0.4979996763328679
0.125,0.683672262077468,0.11321914561451037,0.0565046611702662,0.49059217097232394
0.15,0.916962055485915,0.11762339393252552,0.07130800621433006,0.48912766944515773
0.175,0.9855670503804778,0.1322621359652503,0.08391661650871969,0.5011637142478067
0.2,0.9848282981433624,0.13070775258912545,0.09339199720451423,0.4924780164452304
0.225,0.9873526878814755,0.16442976304772158,0.10238076339603588,0.4966352799997697
0.25,0.9938705629160529,0.1672923562073636,0.1123267226166245,0.5006034011702694
0.275,0.991315473471446,0.20427871422348787,0.12198775144760121,0.49628266756949635
0.3,0.9897643017386702,0.19841101410857961,0.12936262020290118,0.49342860878162487
0.05,0.3425085653371856,0.04337390775048386,0.026635175147901768,0.48949247437825505
0.075,0.366262730838108,0.0606573086367876,0.06860066009902507,0.496609357303179
0.1,0.44619855828045873,0.08048810441369669,0.14956077374854654,0.4979996763328679
0.125,0.683672262077468,0.11321914561451037,0.0565046611702662,0.49059217097232394
0.15,0.916962055485915,0.11762339393252552,0.07130800621433006,0.48912766944515773
0.175,0.9855670503804778,0.1322621359652503,0.08391661650871969,0.5011637142478067
0.2,0.9848282981433624,0.13070775258912545,0.09339199720451423,0.4924780164452304
0.225,0.9873526878814755,0.16442976304772158,0.10238076339603588,0.4966352799997697
0.25,0.9938705629160529,0.1672923562073636,0.1123267226166245,0.5006034011702694
0.275,0.991315473471446,0.20427871422348787,0.12198775144760121,0.49628266756949635
0.3,0.9897643017386702,0.19841101410857961,0.12936262020290118,0.49342860878162487
