rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.9835885364741948,1.0,0.986376071037399,0.4365470567037402,1.0
0.075,0.9676484390504936,1.0,0.9694252568489878,0.5988318198106106,1.0
0.1,0.9498184136915236,1.0,0.9614181936871136,0.6998005602904912,1.0
0.125,0.9715845503058016,1.0,0.9663471782461123,0.6851705552812687,1.0
0.15,0.9415416643523844,1.0,0.9611686181672832,0.8482273621690618,1.0
0.175,0.9287066837462505,1.0,0.9561089242654923,0.9035173134209231,1.0
0.2,0.962943793730694,1.0,0.9757337396920727,0.9540261284048427,1.0
0.225,0.9771089578795932,1.0,0.9853342905813272,0.960710700122698,1.0
0.25,0.9675331163513086,1.0,0.9867495326970348,0.9615172155180268,1.0
0.275,0.9873326348627369,1.0,0.9865110242177846,0.980060355569002,1.0
0.3,0.9797883786065702,1.0,0.9891378523903285,0.9895578657909077,0.9999618174875906
