rate,BeatGAN
0.05,233415.7519340515
0.075,337624.21560287476
0.1,496375.9331703186
0.125,715667.7165031433
0.15,415902.1475315094
0.175,268313.7466907501
0.2,239918.26057434082
0.225,232340.5921459198
0.25,239443.93682479858
0.275,462763.6287212372
0.3,795837.8827571869
