rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.05245895258277957,0.048036450271046374,0.046268870960953265,0.9925662599789227
0.075,0.07599258461432994,0.07362517751223274,0.07724131583802489,0.9978691123598808
0.1,0.09899188706605491,0.10549194016397907,0.09740886190810495,0.9972299972996173
0.125,0.1221425760369649,0.1227003011128068,0.11752892121178662,0.9957086618743418
0.15,0.14129920020787373,0.14709626813014018,0.13850333758382596,0.9973092055592051
0.175,0.1629139728763573,0.16460815590521266,0.16279316292096596,0.998176183881937
0.2,0.18396205559840323,0.18537972665790708,0.1850671321840256,0.9983792156472637
0.225,0.204154504151709,0.20224948813817903,0.20098304366520106,0.9987471599914881
0.25,0.22389062411937743,0.22526707399103846,0.2232705360831872,0.9991975220508718
0.275,0.2432094952499709,0.24088777769388087,0.24159693943528165,0.9984881042162609
0.3,0.2619561827034513,0.26007633183116613,0.2584735525557511,0.9986893820199121
0.05,0.05245895258277957,0.048036450271046374,0.046268870960953265,0.9925662599789227
0.075,0.07599258461432994,0.07362517751223274,0.07724131583802489,0.9978691123598808
0.1,0.09899188706605491,0.10549194016397907,0.09740886190810495,0.9972299972996173
0.125,0.1221425760369649,0.1227003011128068,0.11752892121178662,0.9957086618743418
0.15,0.14129920020787373,0.14709626813014018,0.13850333758382596,0.9973092055592051
0.175,0.1629139728763573,0.16460815590521266,0.16279316292096596,0.998176183881937
0.2,0.18396205559840323,0.18537972665790708,0.1850671321840256,0.9983792156472637
0.225,0.204154504151709,0.20224948813817903,0.20098304366520106,0.9987471599914881
0.25,0.22389062411937743,0.22526707399103846,0.2232705360831872,0.9991975220508718
0.275,0.2432094952499709,0.24088777769388087,0.24159693943528165,0.9984881042162609
0.3,0.2619561827034513,0.26007633183116613,0.2584735525557511,0.9986893820199121
