rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.05831917457552541,-0.05235388300585697,0.0648387174875936,0.9199555734319829
0.075,0.06927465122213637,0.0842428424372034,0.09587028563236329,0.8594687342042253
0.1,0.09538865429138142,0.11268727154726174,0.1326399091110331,0.954614101945071
0.125,0.12449124367575426,0.13816062854384856,0.16722275383603344,0.9895120859057485
0.15,0.14064802720911432,0.15817124258722304,0.18678839297134528,0.992016859354371
0.175,0.16176966484356897,0.18244258989576734,0.2230566581296168,0.9836918320190374
0.2,0.17419989870905422,0.2064110873052541,0.24376075885182885,0.96675893397063
0.225,0.19384764997972298,0.23071473522575733,0.269892974414317,0.9390892432044364
0.25,0.2212781890318079,0.251066291415813,0.2999957334655944,0.9356865281186358
0.275,0.24356851372710717,0.27427438657877395,0.319302604727366,0.9557109605188975
0.3,0.25940222788188116,0.29619420003059344,0.3446777340070989,0.9137863309765601
