rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.09557034214705096,0.13056235271514718,0.09538241705813305,-0.15080115353176607,0.09543668066129464
0.075,0.1368793875032352,0.18388710320487497,0.13702853891846514,-0.004917877892185521,0.13729782393710294
0.1,0.17645022931565396,0.23381043225835327,0.17680352916766903,0.14018063274739842,0.17732356238234637
0.125,0.21284709392028023,0.277606313298913,0.2130846528345987,0.168076173051416,0.2133745302140893
0.15,0.24537420935257898,0.31581081991966226,0.24667500004284384,0.22260885502217564,0.24727315683234924
0.175,0.2773342739201495,0.35442014677476974,0.2788881225835759,0.27485723030610376,0.2800845040562039
0.2,0.30860061058561633,0.3878373278227646,0.3098634041679228,0.3087917588700262,0.3107497498323945
0.225,0.3374469118931082,0.41856416068928404,0.3380921975221171,0.3366270051019249,0.33877085278814445
0.25,0.3644751810511337,0.4490639436198859,0.3665606889529385,0.36460652210845534,0.36711687021179457
0.275,0.39165696386942966,0.4762046306934879,0.39192876234790197,0.3917513463632679,0.39278351753605517
0.3,0.41460864320764534,0.5007148670323709,0.4155672102291678,0.4159280280676514,0.4165147389964929
