rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.02575752444779574,0.9530525316099038,0.026939889987468046,0.027142173235852357,0.5493414714591865
0.075,0.03498026749385123,0.9556711851439754,0.034863204199373124,0.03680957091392578,0.6564965374368466
0.1,0.04838632269484001,0.9537143169282617,0.04715332356543406,0.04970632740372312,0.7422485197587283
0.125,0.06291640045617838,0.9339219361244468,0.06191489254625822,0.061323883300719785,0.7840148561883311
0.15,0.07392804662612522,0.9296024377901976,0.07407222618086547,0.07311722500350067,0.8140592379148106
0.175,0.08564166165234957,0.9089918897233226,0.08543660204103543,0.08557612914855824,0.8593923202518411
0.2,0.09686117314074791,0.918967225354171,0.09619190843415441,0.09673671519536178,0.8642880576610757
0.225,0.10947059352333473,0.882074703547042,0.1078444868748359,0.10827610916709854,0.8941812373682708
0.25,0.12110333788374619,0.8376188141002473,0.1190585138280034,0.11983916718293366,0.9048545269012394
0.275,0.13089272986100087,0.8375447640472757,0.1299172303241935,0.13008893058512722,0.8880167362146965
0.3,0.14190348663045166,0.8242843900397301,0.14091834886860446,0.14200950085251401,0.9083503466379229
0.05,0.02575752444779574,0.9350215817035779,0.026939889987468046,0.027142173235852357,0.5493414714591865
0.075,0.03498026749385123,0.9503279346286215,0.034863204199373124,0.03680957091392578,0.6564965374368466
0.1,0.04838632269484001,0.9612976535811233,0.04715332356543406,0.04970632740372312,0.7422485197587283
0.125,0.06291640045617838,0.9312991936813951,0.06191489254625822,0.061323883300719785,0.7840148561883311
0.15,0.07392804662612522,0.9274817744143284,0.07407222618086547,0.07311722500350067,0.8140592379148106
0.175,0.08564166165234957,0.9098316023203976,0.08543660204103543,0.08557612914855824,0.8593923202518411
0.2,0.09686117314074791,0.924453568998457,0.09619190843415441,0.09673671519536178,0.8642880576610757
0.225,0.10947059352333473,0.9065186826172023,0.1078444868748359,0.10827610916709854,0.8941812373682708
0.25,0.12110333788374619,0.8589061880345975,0.1190585138280034,0.11983916718293366,0.9048545269012394
0.275,0.13089272986100087,0.8569993992418352,0.1299172303241935,0.13008893058512722,0.8880167362146965
0.3,0.14190348663045166,0.8626678859907371,0.14091834886860446,0.14200950085251401,0.9083503466379229
