rate,TranAD,RCoder,USAD,GDN,OmniAnomaly
0.05,0.21776815247229075,0.6903892425138886,0.29121051139817267,0.12297861835333526,1.0
0.075,0.32850977027163347,0.7002014900295943,0.4455125755758703,0.37661583685895594,1.0
0.1,0.32632102668262614,0.7006713367024504,0.5987431288480469,0.45500005448718,1.0
0.125,0.5634957045774387,0.7357159415838405,0.814517692598302,0.529669133110662,1.0
0.15,0.6709423892726962,0.7440411128335145,0.8128334953203955,0.5706032824405287,1.0
0.175,0.6720887269924211,0.7636098039751333,0.8426618076202507,0.5140959724958887,1.0
0.2,0.8134423973895958,0.7626970964325043,0.8035450358809968,0.8574203635954495,1.0
0.225,0.8375890777285904,0.8022046530606662,0.8182795442676355,0.8229807491234397,1.0
0.25,0.842023871565391,0.8540164023968003,0.8460362453348228,0.8548881419223587,1.0
0.275,0.8878828108046589,0.8641687844888365,0.8784413206889298,0.8202528136455299,1.0
0.3,0.9287105666018443,0.8935733829864232,0.8864777198009625,0.8846281319908771,1.0
0.05,0.21776815247229075,0.69822089483241,0.29121051139817267,0.12297861835333526,1.0
0.075,0.32850977027163347,0.7041569965660273,0.4455125755758703,0.37661583685895594,1.0
0.1,0.32632102668262614,0.6960081386564914,0.5987431288480469,0.45500005448718,1.0
0.125,0.5634957045774387,0.7245760631587385,0.814517692598302,0.529669133110662,1.0
0.15,0.6709423892726962,0.7320865881600842,0.8128334953203955,0.5706032824405287,1.0
0.175,0.6720887269924211,0.74546924287144,0.8426618076202507,0.5140959724958887,1.0
0.2,0.8134423973895958,0.7393332797331493,0.8035450358809968,0.8574203635954495,1.0
0.225,0.8375890777285904,0.7658580433976268,0.8182795442676355,0.8229807491234397,1.0
0.25,0.842023871565391,0.812211302919122,0.8460362453348228,0.8548881419223587,1.0
0.275,0.8878828108046589,0.8239552587972383,0.8784413206889298,0.8202528136455299,1.0
0.3,0.9287105666018443,0.8296095786930586,0.8864777198009625,0.8846281319908771,1.0
