rate,NormA,BeatGAN
0.05,2338.526964187622,220628.79371643066
0.075,3237.7309799194336,236198.52566719055
0.1,7082.602500915527,373588.31429481506
0.125,9868.228912353516,459996.48094177246
0.15,5175.732135772705,256795.95136642456
0.175,6771.528959274292,259938.2448196411
0.2,4097.925424575806,279167.0105457306
0.225,7936.790466308594,272608.2327365875
0.25,5110.154390335083,242538.36798667908
