rate,TranAD,USAD,GDN,OmniAnomaly
0.05,0.08959851226008884,0.05765217574094307,0.10397275003853017,0.8979634665496228
0.075,0.0783148412952673,0.09873842326603896,0.151780139118008,0.7863389019507229
0.1,0.10429673048542883,0.13507955303307234,0.21713283439481845,0.9243607530755046
0.125,0.13522086201913605,0.16695913206487353,0.27881578865607215,0.9851664768392847
0.15,0.14504075476101352,0.18728091085976095,0.2931409528567609,0.9868475226294338
0.175,0.1630046799713612,0.21109852261131548,0.3549909564483935,0.971280061703132
0.2,0.16903153149584255,0.23862180488137405,0.36000796284371195,0.9396715360130239
0.225,0.19000891080936796,0.26984138928489176,0.4057135921960464,0.8961026311233686
0.25,0.2175798116281391,0.2834352801952922,0.4482692139699065,0.9001510501099006
0.275,0.24366909008602491,0.3174718425429539,0.464458846950099,0.9377071140100737
0.3,0.25500167271734414,0.3396475224595326,0.4963787761320967,0.8640205886321978
