lr,n_latent,n_window,epoch,dsName,currepoch,L1,L2
0.01,5,5,5,uni_pointg,0,0.019338160162755153,0.020042945896107795
0.01,5,5,5,uni_pointg,0,0.019338160162755153,0.020042945896107795
0.01,5,5,5,uni_pointg,1,0.016736134201300986,-0.000940361261080571
0.01,5,5,5,uni_pointg,2,0.016728078305260498,-0.006304104633043856
0.01,5,5,5,uni_pointg,3,0.01684164046546221,-0.009031860518162295
0.01,5,5,5,uni_pointg,4,0.016632863257079432,-0.01042450657164954
0.01,5,5,5,uni_pointg,0,0.019338160162755153,0.020042945896107795
0.01,5,5,5,uni_pointg,1,0.016736134201300986,-0.000940361261080571
0.01,5,5,5,uni_pointg,2,0.016728078305260498,-0.006304104633043856
0.01,5,5,5,uni_pointg,3,0.01684164046546221,-0.009031860518162295
0.01,5,5,5,uni_pointg,4,0.016632863257079432,-0.01042450657164954
0.01,5,5,5,uni_pointg,0,0.019338160162755153,0.020042945896107795
0.01,5,5,5,uni_pointg,1,0.016736134201300986,-0.000940361261080571
0.01,5,5,5,uni_pointg,2,0.016728078305260498,-0.006304104633043856
0.01,5,5,5,uni_pointg,3,0.01684164046546221,-0.009031860518162295
0.01,5,5,5,uni_pointg,4,0.016632863257079432,-0.01042450657164954
0.01,5,5,10,uni_pointg,0,0.01927608318532575,0.021492305495151937
0.01,5,5,10,uni_pointg,1,0.017078661368842462,-0.0009636637056515298
