lr,batch,n_window,epoch,dsName,currepoch,L1
0.1,128,10,5,uni_pointg,0,0.035134723038040876
0.1,128,10,5,uni_pointg,1,0.01003172422284962
0.1,128,10,5,uni_pointg,2,0.0035391342013317492
0.1,128,10,5,uni_pointg,3,0.0026394697859189174
0.1,128,10,5,uni_pointg,4,0.002498370395346426
0.1,128,10,10,uni_pointg,0,0.021487144388129778
0.1,128,10,10,uni_pointg,1,0.0068643422816895925
0.1,128,10,10,uni_pointg,2,0.0028153577441986013
0.1,128,10,10,uni_pointg,3,0.0019934098219348837
0.1,128,10,10,uni_pointg,4,0.001584804203795067
0.1,128,10,10,uni_pointg,5,0.001135387518128547
0.1,128,10,10,uni_pointg,6,0.0009320116810134575
0.1,128,10,10,uni_pointg,7,0.0010144413150244115
0.1,128,10,10,uni_pointg,8,0.0019304685715877084
0.1,128,10,10,uni_pointg,9,0.0008724699557639239
0.1,128,10,15,uni_pointg,0,0.013771545993508704
0.1,128,10,15,uni_pointg,1,0.005680143645168548
0.1,128,10,15,uni_pointg,2,0.0019087451922688125
0.1,128,10,15,uni_pointg,3,0.001632676307155069
0.1,128,10,15,uni_pointg,4,0.0014042075732446505
0.1,128,10,15,uni_pointg,5,0.002025528478566505
0.1,128,10,15,uni_pointg,6,0.0010904210424284003
0.1,128,10,15,uni_pointg,7,0.0008835453530954029
0.1,128,10,15,uni_pointg,8,0.0009017388350076168
0.1,128,10,15,uni_pointg,9,0.0008166062079612735
0.1,128,10,15,uni_pointg,10,0.0008001416950755525
0.1,128,10,15,uni_pointg,11,0.0007868862001254824
0.1,128,10,15,uni_pointg,12,0.0007959734398716795
0.1,128,10,15,uni_pointg,13,0.0008165011539093539
0.1,128,10,15,uni_pointg,14,0.0007791701602637492
0.1,128,10,20,uni_pointg,0,0.025781928965642742
0.1,128,10,20,uni_pointg,1,0.012196921167094655
0.1,128,10,20,uni_pointg,2,0.0037295898188019296
0.1,128,10,20,uni_pointg,3,0.003138513893884817
0.1,128,10,20,uni_pointg,4,0.0028013574324894934
0.1,128,10,20,uni_pointg,5,0.0020424055905896034
0.1,128,10,20,uni_pointg,6,0.0016379822525587535
0.1,128,10,20,uni_pointg,7,0.0012879350757829197
0.1,128,10,20,uni_pointg,8,0.0011653234324364877
0.1,128,10,20,uni_pointg,9,0.0009867292558066083
0.1,128,10,20,uni_pointg,10,0.0009661727353639646
0.1,128,10,20,uni_pointg,11,0.0007563763579619644
0.1,128,10,20,uni_pointg,12,0.0008021397075009904
0.1,128,10,20,uni_pointg,13,0.0009465698262586035
0.1,128,10,20,uni_pointg,14,0.0008113269154759865
0.1,128,10,20,uni_pointg,15,0.000704537615101826
0.1,128,10,20,uni_pointg,16,0.0007572191467039799
0.1,128,10,20,uni_pointg,17,0.0007316236848236665
0.1,128,10,20,uni_pointg,18,0.0007775807093406941
0.1,128,10,20,uni_pointg,19,0.0006472957799000387
0.1,128,10,30,uni_pointg,0,0.0147095270138702
0.1,128,10,30,uni_pointg,1,0.006154362680733435
0.1,128,10,30,uni_pointg,2,0.0028360700004625558
0.1,128,10,5,uni_pointg,0,0.035134723038040876
0.1,128,10,5,uni_pointg,1,0.01003172422284962
0.1,128,10,5,uni_pointg,2,0.0035391342013317492
0.1,128,10,5,uni_pointg,3,0.0026394697859189174
0.1,128,10,5,uni_pointg,4,0.002498370395346426
0.1,128,10,10,uni_pointg,0,0.021487144388129778
0.1,128,10,5,uni_pointg,0,0.035134723038040876
0.1,128,10,5,uni_pointg,1,0.01003172422284962
0.1,128,10,5,uni_pointg,2,0.0035391342013317492
0.1,128,10,5,uni_pointg,3,0.0026394697859189174
0.1,128,10,5,uni_pointg,4,0.002498370395346426
0.1,128,10,10,uni_pointg,0,0.021487144388129778
0.1,128,10,10,uni_pointg,1,0.0068643422816895925
0.1,128,10,5,uni_pointg,0,0.035134723038040876
0.1,128,10,5,uni_pointg,1,0.01003172422284962
0.1,128,10,5,uni_pointg,2,0.0035391342013317492
0.1,128,10,5,uni_pointg,3,0.0026394697859189174
0.1,128,10,5,uni_pointg,4,0.002498370395346426
0.1,128,10,10,uni_pointg,0,0.021487144388129778
