S,delta,batch_size,freq_warmup,sin_warmup,epoch,dsName,currepoch,loss
5,0.06,180,10,10,5,smtp,6,0.014648599
5,0.06,180,10,10,5,smtp,7,0.014851778
5,0.06,180,10,10,5,smtp,8,0.012148255
5,0.06,180,10,10,5,smtp,9,0.0111236125
5,0.06,180,10,10,10,smtp,0,0.08975898
5,0.06,180,10,10,10,smtp,1,0.044003036
5,0.06,180,10,10,10,smtp,2,0.045854118
5,0.06,180,10,10,10,smtp,3,0.04286864
5,0.06,180,10,10,10,smtp,4,0.041542143
5,0.06,180,10,10,10,smtp,5,0.038004767
5,0.06,180,10,10,10,smtp,6,0.03648945
5,0.06,180,10,10,10,smtp,7,0.033674035
5,0.06,180,10,10,10,smtp,8,0.028201984
5,0.06,180,10,10,10,smtp,9,0.02403238
5,0.06,180,10,10,15,smtp,0,0.18298225
5,0.06,180,10,10,15,smtp,1,0.10415139
5,0.06,180,10,10,15,smtp,2,0.059946746
5,0.06,180,10,10,15,smtp,3,0.027517034
5,0.06,180,10,10,15,smtp,4,0.022138717
5,0.06,180,10,10,15,smtp,5,0.019561255
5,0.06,180,10,10,15,smtp,6,0.017442543
5,0.06,180,10,10,15,smtp,7,0.015793275
5,0.06,180,10,10,15,smtp,8,0.015473885
5,0.06,180,10,10,15,smtp,9,0.015108357
5,0.07,180,10,10,5,smtp,0,0.12175413
5,0.07,180,10,10,5,smtp,1,0.07006251
5,0.07,180,10,10,5,smtp,2,0.048529092
5,0.07,180,10,10,5,smtp,3,0.044968575
5,0.07,180,10,10,5,smtp,4,0.046253674
5,0.07,180,10,10,5,smtp,5,0.04570287
5,0.07,180,10,10,5,smtp,6,0.047080755
5,0.07,180,10,10,5,smtp,7,0.04458563
5,0.07,180,10,10,5,smtp,8,0.044640474
5,0.07,180,10,10,5,smtp,9,0.040976375
5,0.07,180,10,10,10,smtp,0,0.14997289
5,0.07,180,10,10,10,smtp,1,0.061882656
5,0.07,180,10,10,10,smtp,2,0.04292749
5,0.07,180,10,10,10,smtp,3,0.04048091
5,0.07,180,10,10,10,smtp,4,0.037140165
5,0.07,180,10,10,10,smtp,5,0.034786217
5,0.07,180,10,10,10,smtp,6,0.030623065
5,0.07,180,10,10,10,smtp,7,0.025223058
5,0.07,180,10,10,10,smtp,8,0.02043398
5,0.07,180,10,10,10,smtp,9,0.01989565
5,0.07,180,10,10,15,smtp,0,0.19765338
5,0.07,180,10,10,15,smtp,1,0.09016736
5,0.07,180,10,10,15,smtp,2,0.05169597
5,0.07,180,10,10,15,smtp,3,0.043956056
5,0.07,180,10,10,15,smtp,4,0.04587606
5,0.07,180,10,10,15,smtp,5,0.048771378
5,0.07,180,10,10,15,smtp,6,0.040612064
5,0.07,180,10,10,15,smtp,7,0.04522205
5,0.07,180,10,10,15,smtp,8,0.041818097
5,0.07,180,10,10,15,smtp,9,0.044291396
10,0.05,180,10,10,5,smtp,0,0.06388457
10,0.05,180,10,10,5,smtp,1,0.045770872
10,0.05,180,10,10,5,smtp,2,0.04492174
10,0.05,180,10,10,5,smtp,3,0.044219363
10,0.05,180,10,10,5,smtp,4,0.042354494
10,0.05,180,10,10,5,smtp,5,0.044945396
10,0.05,180,10,10,5,smtp,6,0.041837387
10,0.05,180,10,10,5,smtp,7,0.03964794
10,0.05,180,10,10,5,smtp,8,0.037237983
10,0.05,180,10,10,5,smtp,9,0.035248224
10,0.05,180,10,10,10,smtp,0,0.21626009
10,0.05,180,10,10,10,smtp,1,0.15071714
10,0.05,180,10,10,10,smtp,2,0.095969565
10,0.05,180,10,10,10,smtp,3,0.04739842
10,0.05,180,10,10,10,smtp,4,0.0417601
10,0.05,180,10,10,10,smtp,5,0.041201845
10,0.05,180,10,10,10,smtp,6,0.0420412
10,0.05,180,10,10,10,smtp,7,0.038654756
10,0.05,180,10,10,10,smtp,8,0.03604857
10,0.05,180,10,10,10,smtp,9,0.038686115
10,0.05,180,10,10,15,smtp,0,0.0764884
10,0.05,180,10,10,15,smtp,1,0.048575647
10,0.05,180,10,10,15,smtp,2,0.046888538
10,0.05,180,10,10,15,smtp,3,0.04159637
10,0.05,180,10,10,15,smtp,4,0.043665156
10,0.05,180,10,10,15,smtp,5,0.04294727
10,0.05,180,10,10,15,smtp,6,0.044028714
10,0.05,180,10,10,15,smtp,7,0.043731883
10,0.05,180,10,10,15,smtp,8,0.044103753
10,0.05,180,10,10,15,smtp,9,0.038699344
10,0.04,180,10,10,5,smtp,0,0.107993275
10,0.04,180,10,10,5,smtp,1,0.06043948
10,0.04,180,10,10,5,smtp,2,0.04997364
10,0.04,180,10,10,5,smtp,3,0.0464187
10,0.04,180,10,10,5,smtp,4,0.043540422
10,0.04,180,10,10,5,smtp,5,0.04207834
10,0.04,180,10,10,5,smtp,6,0.042479005
10,0.04,180,10,10,5,smtp,7,0.042394176
10,0.04,180,10,10,5,smtp,8,0.04104482
10,0.04,180,10,10,5,smtp,9,0.040788494
10,0.04,180,10,10,10,smtp,0,0.17707208
10,0.04,180,10,10,10,smtp,1,0.12992685
10,0.04,180,10,10,10,smtp,2,0.09540198
10,0.04,180,10,10,10,smtp,3,0.06229029
10,0.04,180,10,10,10,smtp,4,0.04410238
10,0.04,180,10,10,10,smtp,5,0.04592309
10,0.04,180,10,10,10,smtp,6,0.044451155
10,0.04,180,10,10,10,smtp,7,0.04077305
10,0.04,180,10,10,10,smtp,8,0.035245344
10,0.04,180,10,10,10,smtp,9,0.014152231
10,0.04,180,10,10,15,smtp,0,0.11778785
10,0.04,180,10,10,15,smtp,1,0.04652144
10,0.04,180,10,10,15,smtp,2,0.0411524
10,0.04,180,10,10,15,smtp,3,0.0435247
10,0.04,180,10,10,15,smtp,4,0.04159614
10,0.04,180,10,10,15,smtp,5,0.040971264
10,0.04,180,10,10,15,smtp,6,0.039026186
10,0.04,180,10,10,15,smtp,7,0.038237993
10,0.04,180,10,10,15,smtp,8,0.039304703
10,0.04,180,10,10,15,smtp,9,0.040212628
10,0.03,180,10,10,5,smtp,0,0.14816886
10,0.03,180,10,10,5,smtp,1,0.055229012
10,0.03,180,10,10,5,smtp,2,0.04822497
10,0.03,180,10,10,5,smtp,3,0.0491173
10,0.03,180,10,10,5,smtp,4,0.043944605
10,0.03,180,10,10,5,smtp,5,0.042368997
10,0.03,180,10,10,5,smtp,6,0.04042661
10,0.03,180,10,10,5,smtp,7,0.042220797
10,0.03,180,10,10,5,smtp,8,0.0453818
10,0.03,180,10,10,5,smtp,9,0.04231813
10,0.03,180,10,10,10,smtp,0,0.22325322
10,0.03,180,10,10,10,smtp,1,0.12795599
10,0.03,180,10,10,10,smtp,2,0.07983067
10,0.03,180,10,10,10,smtp,3,0.05367053
10,0.03,180,10,10,10,smtp,4,0.034645613
10,0.03,180,10,10,10,smtp,5,0.021988777
