lr,n_latent,n_window,epoch,dsName,currepoch,L1,L2
0.01,5,5,5,smtp,0,0.005625988738051438,0.005625095187157545
0.01,5,5,5,smtp,0,0.005625988738051438,0.005625095187157545
0.01,5,5,5,smtp,1,0.005605463394649612,0.0
0.01,5,5,5,smtp,2,0.005604358228055102,-0.001868119409351701
0.01,5,5,5,smtp,3,0.00560400149863769,-0.002802000749318845
0.01,5,5,5,smtp,4,0.005603827649251114,-0.003362296589550669
0.01,5,10,5,smtp,0,0.0056143389313677424,0.0056099031231052025
0.01,5,10,5,smtp,1,0.005605360379910772,0.0
0.01,5,10,5,smtp,2,0.005604248024865261,-0.0018680826749550876
0.01,5,10,5,smtp,3,0.005603888914311276,-0.002801944457155638
0.01,5,10,5,smtp,4,0.005603714029690547,-0.0033622284178143284
0.001,5,5,5,smtp,0,0.0032297124292534414,0.003226689603190069
0.001,5,5,5,smtp,1,0.0016136240122937462,-0.00013354373963847004
0.001,5,5,5,smtp,2,0.0010252864651766173,-0.00042256209446206005
0.001,5,5,5,smtp,3,0.000943871339272342,-0.000520962227879434
0.001,5,5,5,smtp,4,0.0009045766314008002,-0.0005830605551463676
0.001,5,10,5,smtp,0,0.004600784007128513,0.0046405019289256465
0.001,5,10,5,smtp,1,0.003942163480934087,-4.367138635821035e-05
0.001,5,10,5,smtp,2,0.0035529429217889346,-0.0012444610097936094
0.001,5,10,5,smtp,3,0.0034976575803054018,-0.0017963496246677765
0.001,5,10,5,smtp,4,0.0034740305282197543,-0.0021256482242268714
0.0001,5,5,5,smtp,0,0.005893948363870129,0.005610164351614968
0.0001,5,5,5,smtp,1,0.003899993124538504,-1.6842720459037724e-05
0.0001,5,5,5,smtp,2,0.003847976533183278,-0.0013148946670242243
0.0001,5,5,5,smtp,3,0.003266170959606213,-0.0016760374175459722
0.0001,5,5,5,smtp,4,0.0030542223037921226,-0.001853062900527538
0.0001,5,10,5,smtp,0,0.005853857936069142,0.006320015157633004
0.0001,5,10,5,smtp,1,0.0044585891672866895,-2.3605642454592172e-05
0.0001,5,10,5,smtp,2,0.004417165217898153,-0.0014816936156791336
0.0001,5,10,5,smtp,3,0.004334835949651402,-0.0021946229568731465
0.0001,5,10,5,smtp,4,0.003995205864164157,-0.0024223186475458717
0.1,5,5,5,smtp,0,0.005655266037140963,0.005655796408319827
0.1,5,5,5,smtp,1,0.005637769305324129,0.0
0.1,5,5,5,smtp,2,0.005641362231248528,-0.0018804540770828433
0.1,5,5,5,smtp,3,0.005642646798255283,-0.0028213233991276417
0.1,5,5,5,smtp,4,0.005643307322126563,-0.0033859843932759373
0.1,5,10,5,smtp,0,0.005652767316529001,0.0056530374454212854
0.1,5,10,5,smtp,1,0.005637637369209158,0.0
0.1,5,10,5,smtp,2,0.005641222861929053,-0.0018804076206430178
0.1,5,10,5,smtp,3,0.005642507697230306,-0.002821253848615153
0.1,5,10,5,smtp,4,0.005643168404424862,-0.0033859010426549184
0.15,5,5,5,smtp,0,0.005844808967143213,0.005844843526596163
0.15,5,5,5,smtp,1,0.005825848898636732,0.0
0.15,5,5,5,smtp,2,0.005831573148036529,-0.0019438577160121764
0.15,5,5,5,smtp,3,0.005833795739822919,-0.0029168978699114596
0.15,5,5,5,smtp,4,0.00583497181369891,-0.003500983088219346
0.15,5,10,5,smtp,0,0.0058444630365105535,0.00584298799586072
0.15,5,10,5,smtp,1,0.005825714587392753,0.0
0.15,5,10,5,smtp,2,0.005831444468113686,-0.0019438148227045628
0.15,5,10,5,smtp,3,0.005833661246414916,-0.002916830623207458
0.15,5,10,5,smtp,4,0.00583482824551037,-0.003500896947306221
0.2,5,5,5,smtp,0,0.006058870002783584,0.006060591977876051
0.2,5,5,5,smtp,1,0.006035312081890788,0.0
0.2,5,5,5,smtp,2,0.006043882834968667,-0.0020146276116562224
0.2,5,5,5,smtp,3,0.006047081202995456,-0.003023540601497728
0.2,5,5,5,smtp,4,0.006048765218183019,-0.0036292591309098113
0.2,5,10,5,smtp,0,0.006060176934028495,0.00605811482556595
0.2,5,10,5,smtp,1,0.006035199681256648,0.0
0.2,5,10,5,smtp,2,0.006043749823828044,-0.0020145832746093486
0.2,5,10,5,smtp,3,0.00604691665012091,-0.003023458325060455
0.2,5,10,5,smtp,4,0.006048576730018508,-0.003629146038011105
