seed,TranAD,USAD,GDN,OmniAnomaly
0,0.17585472065227464,0.17616482374066722,0.17785275334377637,0.6559440559440559
1,0.181784455574105,0.18198786747550166,0.18171886380189367,0.6715425531914894
2,0.17843729962443897,0.17911000092515497,0.17961391401659985,0.6643975493533015
3,0.1763897792838172,0.17758738194917728,0.1790569503980404,0.9821882951653944
4,0.17883895131086142,0.1798837065445998,0.178039359941144,0.6766304347826086
5,0.17712795678897372,0.17768747691171038,0.17772054088860273,0.6565517241379311
6,0.17843388960205392,0.1777860952559184,0.17893961708394696,0.6648464163822526
7,0.17602339181286547,0.17358842743817077,0.17636792937070117,0.6763285024154589
8,0.17990919409761635,0.1801904761904762,0.17953221780530645,0.6432506887052342
9,0.17472274534421428,0.17655926135293007,0.17634051962410174,0.6708074534161491
