seed,TranAD,RCoder,USAD,GDN,OmniAnomaly
0,0.17540009144947413,0.6933911159263272,0.17522382605517997,0.17547744256850262,0.30036630036630035
1,0.18217784476262247,0.7350553505535056,0.18209011030099082,0.18348182037081628,0.18115678428519463
2,0.18310376492194677,0.6936096718480138,0.18247909850963287,0.18254545454545457,0.18247909850963287
3,0.1751961150541651,0.6512576478585995,0.1742000550105437,0.1753068327532515,0.17484942507756887
4,0.17648155050316808,0.7061855670103092,0.17515688445921004,0.17761208297485903,0.17501596861027463
5,0.1796668790388641,0.7451868629671574,0.17969959035047792,0.17997811816192558,0.1796668790388641
6,0.17797635669738435,0.7476993865030674,0.17778993435448578,0.17831458602249678,0.17767653758542143
7,0.176517098240759,0.6452485627324992,0.1759391345696624,0.1758885298869144,0.17418294686872376
8,0.1777452683551248,0.749135612754514,0.17769272826681246,0.1778345809749863,0.17767653758542143
9,0.17575925413089633,0.6441018766756033,0.17544500228206297,0.17588078373654675,0.17534896451053736
