type,NormA,BeatGAN
1,0.6925000000000001,0.32406976744186045
2,0.776,0.27199999999999996
3,0.6329772167487685,0.06473214285714286
4,0.6239999999999999,0.442
5,0.6593650793650793,0.22913580246913579
6,0.6319999999999999,0.0
7,0.543030303030303,0.14
8,0.6775193798449614,0.2866666666666667
9,0.7552941176470589,0.22091503267973855
10,0.538,0.068
