seed,TranAD,USAD,GDN,OmniAnomaly
0,0.17537449762513702,0.1759191176470588,0.17588839664435857,0.7778477029578352
1,0.17723989849697439,0.18142629556742573,0.1829154094266986,0.7091136079900124
2,0.1839723854837205,0.1833900487445967,0.18292908720607293,0.6604759141033082
3,0.1751531218575738,0.1749862863411958,0.17520117044623262,0.7487437185929647
4,0.17376360511743363,0.1757216444746817,0.17507334153496737,0.7007874015748031
5,0.18147144434407309,0.18236959158916297,0.1811337466784765,0.6457717327025428
6,0.17780211756115372,0.17798081315669256,0.17847424228206812,0.7254658385093167
7,0.17457235321312992,0.17416758141236738,0.17500233710386087,0.7697160883280757
8,0.1785063752276867,0.17906907797213162,0.17843520327472323,0.7153558052434458
9,0.17548670139840966,0.17566331198536136,0.17549668874172186,0.7739898989898989
