type,NormA,BeatGAN
1,256.0572624206543,15864.119529724121
2,254.67443466186523,15656.272888183594
3,380.084753036499,19030.50971031189
4,325.9110450744629,24176.390171051025
5,280.4551124572754,25976.72176361084
6,313.0688667297363,23999.571800231934
7,309.1731071472168,25102.638006210327
8,441.0991668701172,25522.10021018982
9,321.0716247558594,24714.147567749023
10,282.0630073547363,25381.463766098022
