type,NormA,BeatGAN
1,319.07176971435547,22521.07000350952
2,306.06865882873535,22875.149726867676
3,402.09031105041504,22454.054832458496
4,224.04980659484863,22623.093128204346
5,299.06749725341797,22605.088233947754
6,275.06303787231445,23279.244661331177
7,236.0525131225586,23498.797178268433
8,375.08416175842285,22840.14105796814
9,229.0513515472412,22507.066249847412
10,218.0497646331787,22364.03512954712
