seed,TranAD,RCoder,USAD,GDN,OmniAnomaly
0,0.0989345509893455,0.8793686583990981,0.09600783737447956,0.09752599498027967,0.9401373895976447
1,0.09455587392550144,0.8250825082508252,0.09692908989391401,0.09579060982191041,0.8839285714285714
2,0.1005985711527322,0.7690631808278867,0.1,0.0998629332289015,0.9294755877034359
3,0.09587939698492462,0.7900677200902935,0.09732081520494618,0.09835623821072487,0.956772334293948
4,0.09527453606275109,0.7563499529633115,0.09528365062661436,0.09548983974888486,0.9724409448818898
5,0.09540260430507576,0.8095781071835805,0.10006293266205162,0.09517016507030772,0.8836789900811541
6,0.09539602028872414,0.8708240534521158,0.09727272727272727,0.09553398058252428,0.8746713409290097
7,0.09465020576131687,0.8510158013544019,0.09733762930303544,0.09707416647765933,0.80623973727422
8,0.09917123191459475,0.8521358159912377,0.09817003431185665,0.09957058507783145,0.9367552703941339
9,0.09651639344262294,0.8781038374717833,0.09457333857648446,0.09453842435959402,0.9849246231155778
