seed,TranAD,USAD,GDN,OmniAnomaly
0,0.17398648648648649,0.17449537823052255,0.17776212281319712,0.25771604938271603
1,0.18265512796906647,0.18134364427259547,0.1833380294918756,0.23314606741573035
2,0.17904052165812762,0.17921013412816691,0.17944927000554428,0.25786646201074437
3,0.1772552119355795,0.17761022096554613,0.1767875079901379,0.4158125915080527
4,0.18005481762597514,0.17668043559894855,0.178237958768605,0.24852941176470586
5,0.17636195752539244,0.1762459807073955,0.17865928659286595,0.2602941176470588
6,0.1782325581395349,0.17860553963705825,0.17852187586717236,0.29967948717948717
7,0.17436564736499674,0.1752003771805752,0.17849655585504642,0.2626559060895084
8,0.17903002309468824,0.17744075829383885,0.18189974206571716,0.2586903799514955
9,0.17584055136444074,0.17416213119450014,0.17598684210526316,0.29045643153526973
