seed,TranAD,RCoder,USAD,GDN,OmniAnomaly
0,0.0965223562810504,0.09885781803859786,0.0973571706179557,0.09658421672555949,0.20942904524994077
1,0.09559821601706418,0.09435760579489134,0.09498472755936546,0.09916855631141347,0.13398058252427184
2,0.09958992384299942,0.10199250345235748,0.09887811370983075,0.09897221164826799,0.14361078546307152
3,0.0975817620112922,0.09414903754526396,0.09545584452700773,0.09615942729999032,0.1377245508982036
4,0.0956008379356313,0.09545584452700771,0.09574052364204769,0.0959894806048652,0.13740458015267176
5,0.09464685528190515,0.09342230695900858,0.09409294780036262,0.09402771141901577,0.4874551971326165
6,0.0976732293531066,0.06912531376713651,0.09537769959933548,0.09832689832689832,0.11746522411128285
7,0.09602901870943109,0.09810282119335496,0.09825005270925573,0.0989355040701315,0.14018144571261343
8,0.0971498281024731,0.09453020773775492,0.09599063505999415,0.09510169006015469,0.13973539467816262
9,0.09680429204571961,0.09417596034696406,0.09527475700125108,0.0951905807224107,0.10108303249097472
