type,NormA,BeatGAN
1,384.08637046813965,26807.034015655518
2,339.0769958496094,26699.00894165039
3,378.0853748321533,25997.854232788086
4,316.0707950592041,26561.979293823242
5,474.1063117980957,25320.69993019104
6,280.0631523132324,22855.14497756958
7,325.0727653503418,22625.093698501587
8,307.0688247680664,22587.085247039795
9,324.07236099243164,22811.135292053223
10,231.05168342590332,22945.165872573853
