lr,n_latent,n_window,epoch,precision,recall,fmeasure
0.001,0.01,8,5,Error,Error,Error
0.001,0.01,8,10,Error,Error,Error
0.001,0.01,8,20,Error,Error,Error
0.001,0.01,8,40,Error,Error,Error
0.001,0.01,8,80,Error,Error,Error
0.01,0.01,8,5,Error,Error,Error
0.01,0.01,8,10,Error,Error,Error
0.01,0.01,8,20,Error,Error,Error
0.01,0.01,8,40,Error,Error,Error
0.01,0.01,8,80,Error,Error,Error
0.1,0.01,8,5,Error,Error,Error
0.1,0.01,8,10,Error,Error,Error
0.1,0.01,8,20,Error,Error,Error
0.1,0.01,8,40,Error,Error,Error
0.1,0.01,8,80,Error,Error,Error
0.001,8,5,5,Error,Error,Error
0.001,8,5,5,0.10026902948549234,0.9939091915836102,0.18216101932539738
0.001,8,5,10,Error,Error,Error
0.001,8,5,5,0.10026902948549234,0.9939091915836102,0.18216101932539738
0.001,8,5,10,0.08428584415744596,0.9509043927648579,0.1548464747803163
0.001,8,5,20,0.07860962145620255,0.9259874492432633,0.14491685269901358
0.001,8,5,40,0.09229639221607783,0.9713916574381691,0.16857563726410565
0.001,8,5,80,0.07936156260455449,0.8959025470653378,0.1458071211101404
0.01,8,5,5,0.09929933000451634,0.9590254706533776,0.17996476437847336
0.01,8,5,10,0.07844367066308082,0.7360649686231081,0.14177784052948367
0.01,8,5,20,0.09933794502690026,0.9767441860465116,0.1803352317764924
0.01,8,5,40,0.09494766477261742,0.9883720930232558,0.17325193505178366
0.01,8,5,80,0.10054608709363214,0.7715023994093761,0.17790650094475843
0.1,8,5,5,0.10216087576191996,0.9756367663344407,0.1849547680961487
0.1,8,5,10,0.10180119442979886,0.9806201550387597,0.1844536845358666
0.1,8,5,20,0.09852552712013125,0.9928017718715393,0.1792611950417091
0.1,8,5,40,0.09905806813571481,0.982281284606866,0.17996734544477072
0.1,8,5,80,0.10032692582564237,0.987264673311185,0.18214416096663352
