lr,threshold,precision,recall,fmeasure
0.0001,0.5,0.04472843450479233,0.06521739130434782,0.053063802905874924
0.0001,0.51,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.52,0.5454545454545454,0.009316770186335404,0.0183206106870229
0.0001,0.53,0.9838709677419355,0.09472049689440994,0.17280453257790368
0.0001,0.54,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.55,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.56,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.57,0.6,0.009316770186335404,0.018348623853211014
0.0001,0.58,0.9629629629629629,0.040372670807453416,0.0774962742175857
0.0001,0.59,1.0,0.10248447204968944,0.18591549295774648
0.0001,0.6,1.0,0.09472049689440994,0.17304964539007092
0.0001,0.61,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.62,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.63,1.0,0.09782608695652174,0.17821782178217824
0.0001,0.64,0.9795918367346939,0.07453416149068323,0.13852813852813856
0.0001,0.65,1.0,0.09006211180124224,0.16524216524216526
0.0001,0.66,1.0,0.08540372670807453,0.15736766809728184
0.0001,0.67,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.68,1.0,0.08229813664596274,0.15208034433285508
0.0001,0.69,1.0,0.08850931677018634,0.16262482168330958
0.0001,0.7,0.9722222222222222,0.05434782608695652,0.10294117647058824
0.0001,0.71,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.72,1.0,0.06521739130434782,0.12244897959183672
0.0001,0.73,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.74,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.75,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.76,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.77,1.0,0.04503105590062112,0.08618127786032691
0.0001,0.78,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.79,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.8,1.0,0.03881987577639751,0.07473841554559042
0.0001,0.81,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.82,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.83,1.0,0.024844720496894408,0.04848484848484848
0.0001,0.84,1.0,0.03260869565217391,0.06315789473684211
0.0001,0.85,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.86,1.0,0.021739130434782608,0.042553191489361694
0.0001,0.87,0.9444444444444444,0.026397515527950312,0.0513595166163142
0.0001,0.88,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.89,1.0,0.006211180124223602,0.01234567901234568
0.0001,0.9,0.8571428571428571,0.009316770186335404,0.018433179723502304
0.0001,0.91,0.9333333333333333,0.021739130434782608,0.0424886191198786
0.0001,0.92,1.0,0.012422360248447204,0.024539877300613494
0.0001,0.93,1.0,0.009316770186335404,0.01846153846153846
0.0001,0.94,0.6666666666666666,0.003105590062111801,0.0061823802163833074
0.0001,0.95,1.0,0.006211180124223602,0.01234567901234568
0.0001,0.96,1.0,0.003105590062111801,0.006191950464396284
0.0001,0.97,1.0,0.006211180124223602,0.01234567901234568
0.0001,0.98,1.0,0.0015527950310559005,0.0031007751937984496
0.0001,0.99,1.0,0.0015527950310559005,0.0031007751937984496
0.001,0.5,0.08823529411764706,0.009316770186335404,0.016853932584269662
0.001,0.51,0.18181818181818182,0.009316770186335404,0.01772525849335303
0.001,0.52,1.0,0.17080745341614906,0.2917771883289125
0.001,0.53,1.0,0.13975155279503104,0.24523160762942778
0.001,0.54,1.0,0.2111801242236025,0.34871794871794876
0.001,0.55,0.8571428571428571,0.009316770186335404,0.018433179723502304
