lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,512,100,20,64,10,1,RNN,2,0.9423828125,0.8769290276510493,0.9084784974213916
0.01,512,100,20,64,10,1,RNN,3,0.3138020833333333,0.43680326893323285,0.3652246160626376
