lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,128,100,20,64,10,0.1,CNN,1,0.78125,0.6493506493506493,0.7092198581560283
0.01,128,100,20,64,10,0.1,CNN,2,0.48828125,0.8116883116883117,0.6097560975609756
