lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,50,64,10,1,CNN,9,0.3559027777777778,0.47273255813953485,0.40608171844760477
0.01,64,100,50,64,10,1,CNN,10,0.3203125,0.47273255813953485,0.38187526919164616
0.01,64,100,50,64,10,1,CNN,12,0.2669270833333333,0.47273255813953485,0.3411978046811416
0.01,64,100,50,64,10,1,CNN,15,0.22879464285714285,0.47273255813953485,0.3083520543545983
0.01,64,100,50,64,10,1,CNN,20,0.22879464285714285,0.47273255813953485,0.3083520543545983
0.01,64,100,50,64,10,0.01,CNN,8,0.447265625,0.4699418604651163,0.45832342902872447
0.01,64,100,50,64,10,0.01,CNN,9,0.3975694444444444,0.4699418604651163,0.4307368061463652
0.01,64,100,50,64,10,0.01,CNN,10,0.3578125,0.4699418604651163,0.40628253979402806
0.01,64,100,50,64,10,0.01,CNN,12,0.2981770833333333,0.4699418604651163,0.3648546736701679
0.01,64,100,50,64,10,0.01,CNN,15,0.27524038461538464,0.4699418604651163,0.3471552879183665
0.01,64,100,50,64,10,0.01,CNN,20,0.27524038461538464,0.4699418604651163,0.3471552879183665
