lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,20,64,10,1,CNN,1,0.734375,0.94,0.8245614035087719
0.01,64,100,20,64,10,1,CNN,2,0.3828125,0.98,0.550561797752809
0.01,64,100,20,64,10,1,CNN,3,0.17708333333333334,0.6799999999999999,0.2809917355371901
0.01,64,100,20,64,10,0.1,CNN,1,0.421875,0.54,0.4736842105263158
0.01,64,100,20,64,10,0.1,CNN,2,0.3828125,0.98,0.550561797752809
0.01,64,100,20,64,10,0.1,CNN,3,0.17708333333333334,0.6799999999999999,0.2809917355371901
