lr,threshold,precision,recall,fmeasure
0.0001,0.5,0.10422535211267606,0.20218579234972678,0.13754646840148702
0.0001,0.51,0.09090909090909091,0.9562841530054644,0.16603415559772297
0.0001,0.52,0.09655172413793103,0.30601092896174864,0.14678899082568808
0.0001,0.53,0.09159536990437846,0.994535519125683,0.16774193548387095
0.0001,0.54,0.09090909090909091,0.08743169398907104,0.08913649025069637
0.0001,0.55,0.09168765743073048,0.994535519125683,0.1678966789667897
0.0001,0.56,0.09191919191919191,0.994535519125683,0.16828478964401294
0.0001,0.57,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.0001,0.58,0.09163745618427642,1.0,0.16788990825688077
0.0001,0.59,0.09159536990437846,0.994535519125683,0.16774193548387095
0.0001,0.6,0.09163745618427642,1.0,0.16788990825688077
0.0001,0.61,0.09147935180345008,0.9562841530054644,0.16698473282442752
0.0001,0.62,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.0001,0.63,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.0001,0.64,0.09185918591859187,0.912568306010929,0.16691654172913545
0.0001,0.65,0.09442446043165467,0.5737704918032787,0.16216216216216217
0.0001,0.66,0.09170984455958549,0.9672131147540983,0.16753431140558447
0.0001,0.67,0.09248554913294797,0.9617486338797814,0.16874400767018216
0.0001,0.68,0.09168765743073048,0.994535519125683,0.1678966789667897
0.0001,0.69,0.0917381974248927,0.9344262295081968,0.16707376648754274
0.0001,0.7,0.09168765743073048,0.994535519125683,0.1678966789667897
0.0001,0.71,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.0001,0.72,0.0915032679738562,0.07650273224043716,0.08333333333333334
0.0001,0.73,0.08982035928143713,0.08196721311475409,0.0857142857142857
0.0001,0.74,0.08982035928143713,0.08196721311475409,0.0857142857142857
0.0001,0.75,0.09051254089422028,0.907103825136612,0.16460089241447692
0.0001,0.76,0.09081527347781218,0.9617486338797814,0.16595945308816595
0.0001,0.77,0.08148148148148149,0.060109289617486336,0.06918238993710692
0.0001,0.78,0.08982035928143713,0.08196721311475409,0.0857142857142857
0.0001,0.79,0.09734513274336283,0.060109289617486336,0.07432432432432433
0.0001,0.8,0.09171907756813417,0.9562841530054644,0.1673840267814443
0.0001,0.81,0.08982035928143713,0.08196721311475409,0.0857142857142857
0.0001,0.82,0.09227467811158799,0.9398907103825137,0.16805080605764533
0.0001,0.83,0.09174311926605505,0.9289617486338798,0.1669941060903733
0.0001,0.84,0.09190974133186572,0.912568306010929,0.167
0.0001,0.85,0.09251336898395722,0.9453551912568307,0.16853385289819778
0.0001,0.86,0.09190974133186572,0.912568306010929,0.167
0.0001,0.87,0.09175824175824175,0.912568306010929,0.16674987518721915
0.0001,0.88,0.09190371991247265,0.9180327868852459,0.1670810542018896
0.0001,0.89,0.09229098805646037,0.9289617486338798,0.16790123456790124
0.0001,0.9,0.09249183895538629,0.9289617486338798,0.1682335477486393
0.0001,0.91,0.09190974133186572,0.912568306010929,0.167
0.0001,0.92,0.09125475285171103,0.9180327868852459,0.16600790513833993
0.0001,0.93,0.0928,0.9508196721311475,0.16909620991253643
0.0001,0.94,0.09070796460176991,0.8961748633879781,0.16474133601205426
0.0001,0.95,0.12334801762114538,0.15300546448087432,0.13658536585365855
0.0001,0.96,0.041666666666666664,0.00546448087431694,0.009661835748792272
0.0001,0.97,0.041666666666666664,0.00546448087431694,0.009661835748792272
0.0001,0.98,0.08977900552486189,0.3551912568306011,0.14332965821389196
0.0001,0.99,0.08333333333333333,0.00546448087431694,0.010256410256410256
0.001,0.5,0.09225280326197757,0.9890710382513661,0.16876456876456875
0.001,0.51,0.09163558870538092,0.9398907103825137,0.1669902912621359
0.001,0.52,0.09163558870538092,0.9398907103825137,0.1669902912621359
0.001,0.53,0.09136546184738956,0.994535519125683,0.16735632183908045
0.001,0.54,0.0915915915915916,1.0,0.16781292984869325
0.001,0.55,0.09163745618427642,1.0,0.16788990825688077
0.001,0.56,0.09185262065386611,0.9672131147540983,0.16777251184834122
0.001,0.57,0.09185918591859187,0.912568306010929,0.16691654172913545
0.001,0.58,0.09182590233545647,0.9453551912568307,0.16739235607160133
0.001,0.59,0.09183155758498224,0.9890710382513661,0.1680594243268338
0.001,0.6,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.001,0.61,0.09168443496801706,0.9398907103825137,0.16707139388052453
0.001,0.62,0.09226804123711341,0.9781420765027322,0.1686292981629769
0.001,0.63,0.09182137481184144,1.0,0.1681985294117647
0.001,0.64,0.09168765743073048,0.994535519125683,0.1678966789667897
0.001,0.65,0.10084033613445378,0.06557377049180328,0.0794701986754967
