pattern_length,nm_size,top_k,precision,recall,fmeasure
207,414,1,0.0,0.0,-1.0
207,414,2,0.2560386473429952,0.5120772946859904,0.34138486312399363
207,414,3,0.1706924315619968,0.5120772946859904,0.2560386473429952
207,414,4,0.1280193236714976,0.5120772946859904,0.20483091787439617
220,440,1,0.0,0.0,-1.0
220,440,2,0.2318181818181818,0.4927536231884058,0.31530139103554866
220,440,3,0.15454545454545454,0.4927536231884058,0.23529411764705885
220,440,4,0.1159090909090909,0.4927536231884058,0.187672493100276
200,500,1,0.0,0.0,-1.0
200,500,2,0.2725,0.5265700483091788,0.3591433278418451
200,500,3,0.18166666666666667,0.5265700483091788,0.2701363073110285
200,500,4,0.13625,0.5265700483091788,0.21648460774577957
