pattern_length,nm_size,top_k,precision,recall,fmeasure
800,1600,1,0.31,0.33066666666666666,0.31999999999999995
750,1500,1,0.3973333333333333,0.3973333333333333,0.39733333333333326
700,1750,1,0.49714285714285716,0.464,0.48000000000000004
